cluster at [40.125412541, 99.465346535, 1.594059406, 6.085808581, 1, 242.306930693, 2.404535418, 4.460345181, 0, 0, 3.96039604, 6.09472151, 2.338240013, 14.026951471, 0, 0.214854546, 4.676480025, 0.009673135, 2.338240013, 1.795667684, 0.391498113, 1.17769851, 0.227653942] with 303 vectors
aac00020 [27, 52, 2, 10, 1, 226, 3.411504425, 3.851851852, 0, 0, 0, 4.516696061, 1.925925926, 26.62962963, 0, 0, 3.851851852, 0.036567364, 1.925925926, 4.074074074, 0.399880441, 2.168686658, 0.290196943]
aac00230 [65, 126, 4, 7, 1, 253, 1.924901186, 3.723076923, 0, 0, 0, 4.107307692, 1.861538462, 3.938461538, 0, 0, 3.723076923, 0.01145242, 1.861538462, 2.076923077, 0.552044456, 1.346689422, 0.26014652]
aac00330 [46, 98, 3, 6, 1, 237, 2.206751055, 3.913043478, 0, 0, 2, 4.967417184, 2, 10.7826087, 0, 0.086956522, 4, 0.01141231, 2, 2.195652174, 0.504841775, 1.2496741, 0.175698758]
aae00061 [39, 122, 1, 3, 1, 248, 1.685483871, 3.948717949, 0, 0, 22, 5.661072261, 2.538461538, 4.358974359, 0, 1.128205128, 5.076923077, 0.003100266, 2.538461538, 1.076923077, 0.416594613, 0.749615385, 0.156902357]
aae00400 [35, 80, 1, 8, 1, 212, 3.216981132, 3.771428571, 0, 0, 2, 4.496394558, 1.942857143, 24.42857143, 0, 0.114285714, 3.885714286, 0.011968424, 1.942857143, 2.028571429, 0.354701573, 1.399381935, 0.230986395]
aau00010 [50, 126, 1, 5, 1, 257, 1.992217899, 4.96, 0, 0, 2, 7.166782162, 2.52, 8.34, 0, 0.08, 5.04, 0.002168367, 2.52, 1.24, 0.395643753, 0.838054635, 0.264222444]
aau00400 [39, 84, 1, 8, 1, 239, 3.292887029, 3.58974359, 0, 0, 2, 4.413431013, 1.846153846, 23.92307692, 0, 0.102564103, 3.692307692, 0.009993799, 1.846153846, 2.153846154, 0.32338813, 1.499273062, 0.207295483]
aav00260 [40, 93, 2, 8, 1, 295, 2.583050847, 4.65, 0, 0, 0, 5.696944444, 2.325, 14.375, 0, 0, 4.65, 0.009265873, 2.325, 2.475, 0.448277539, 1.353265771, 0.264404763]
aav00400 [40, 98, 1, 8, 1, 260, 3.146153846, 4.05, 0, 0, 3, 5.022619048, 2.1, 23.575, 0, 0.15, 4.2, 0.009412956, 2.1, 2.175, 0.324157594, 1.510654872, 0.217719156]
aba00020 [39, 105, 1, 5, 1, 284, 2.341549296, 5.230769231, 0, 0, 3, 8.798746624, 2.692307692, 13.48717949, 0, 0.153846154, 5.384615385, 0.006948244, 2.692307692, 1.358974359, 0.313031436, 1.001349527, 0.293068805]
aba00240 [52, 103, 3, 5, 1, 285, 2.231578947, 3.461538462, 0, 0, 2, 7.013887715, 1.769230769, 14.11538462, 0, 0.076923077, 3.538461538, 0.019383208, 1.769230769, 1.384615385, 0.474969636, 1.064813072, 0.219674556]
