cluster at [4.4, 1.1, 1.9, 0, 0, 1.9, 3.5, 2, 2, 0.1, 0, 2.4, 0.1, 2.4, 2.5, 0.1, 1.3, 0.1, 0, 0.2, 0.1, 0, 0, 0, 7.7, 0, 1.9, 0, 1.5, 0, 1.1, 3.9, 1.6, 2, 2.2, 0, 2, 0, 1.9, 1.1, 3, 2.4, 2.2, 0.1, 0, 1.1, 1, 0, 2.4, 22.5, 0, 3, 0, 1.2, 0, 0.9, 0, 0, 0, 3.1, 0, 1.5, 1, 0.9, 0, 10.9, 1, 0] with 658 vectors
10000 [5, 0, 1, 0, 0, 5, 3, 2, 2, 1, 0, 1, 0, 4, 3, 0, 2, 0, 0, 1, 0, 0, 0, 0, 10, 0, 1, 0, 1, 0, 1, 4, 2, 2, 3, 0, 2, 0, 2, 1, 4, 3, 0, 0, 0, 3, 1, 0, 3, 22, 0, 3, 0, 1, 0, 1, 0, 0, 0, 5, 0, 2, 1, 1, 0, 11, 1, 0]
10062 [6, 1, 1, 0, 0, 1, 2, 2, 2, 0, 0, 5, 0, 3, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 0, 0, 0, 1, 4, 1, 2, 3, 0, 2, 0, 2, 1, 4, 2, 1, 0, 0, 1, 1, 0, 2, 22, 0, 1, 0, 1, 0, 1, 0, 0, 0, 4, 0, 2, 1, 1, 0, 10, 1, 0]
10080 [5, 1, 2, 0, 0, 1, 3, 2, 2, 0, 0, 1, 0, 3, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 0, 2, 0, 1, 4, 2, 2, 1, 0, 2, 0, 2, 1, 4, 2, 0, 0, 0, 1, 1, 0, 2, 24, 0, 4, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 11, 1, 0]
10124 [5, 1, 12, 0, 0, 3, 5, 2, 2, 0, 0, 3, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 0, 0, 0, 1, 4, 1, 2, 3, 0, 2, 0, 2, 0, 4, 2, 1, 0, 0, 1, 1, 0, 2, 21, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 7, 1, 0]
10145 [3, 1, 1, 0, 0, 1, 4, 2, 2, 0, 0, 1, 9, 5, 5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 0, 4, 0, 1, 4, 2, 2, 1, 0, 2, 0, 2, 1, 4, 3, 0, 0, 0, 1, 1, 0, 3, 24, 0, 6, 0, 1, 0, 1, 0, 0, 0, 2, 0, 2, 1, 1, 0, 11, 1, 0]
10175 [3, 1, 2, 0, 0, 1, 1, 2, 2, 0, 0, 0, 0, 4, 4, 0, 1, 0, 0, 1, 0, 0, 0, 0, 7, 0, 2, 0, 3, 0, 1, 4, 1, 2, 1, 0, 2, 0, 2, 1, 0, 2, 2, 0, 0, 2, 1, 0, 2, 21, 0, 5, 0, 1, 0, 0, 0, 0, 0, 4, 0, 1, 1, 1, 0, 11, 1, 0]
10224 [5, 1, 2, 0, 0, 1, 4, 2, 2, 0, 0, 3, 0, 2, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 0, 0, 0, 1, 4, 1, 2, 1, 0, 2, 0, 2, 1, 2, 2, 1, 0, 0, 1, 1, 0, 2, 21, 0, 1, 0, 1, 0, 1, 0, 0, 0, 3, 0, 1, 1, 1, 0, 14, 1, 0]
10238 [6, 1, 2, 0, 0, 1, 4, 2, 2, 0, 0, 4, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 2, 0, 1, 4, 1, 2, 1, 0, 2, 0, 2, 2, 4, 2, 0, 0, 0, 1, 1, 0, 2, 22, 0, 4, 0, 1, 0, 1, 0, 0, 0, 2, 0, 2, 1, 1, 0, 7, 1, 0]
10247 [4, 1, 1, 0, 0, 1, 2, 2, 2, 0, 0, 3, 0, 5, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 0, 0, 1, 4, 2, 2, 3, 0, 2, 0, 1, 0, 3, 2, 1, 0, 0, 1, 1, 0, 2, 22, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 10, 1, 0]
10273 [3, 1, 1, 0, 0, 1, 5, 2, 2, 0, 0, 3, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 0, 0, 1, 4, 2, 2, 3, 0, 2, 0, 2, 1, 1, 2, 1, 0, 0, 1, 1, 0, 2, 24, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 7, 1, 0]
10320 [6, 1, 1, 0, 0, 1, 3, 2, 2, 0, 0, 1, 0, 5, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 0, 4, 0, 1, 4, 2, 2, 3, 0, 2, 0, 2, 1, 4, 2, 0, 0, 0, 1, 1, 0, 2, 22, 0, 6, 0, 1, 0, 1, 0, 0, 0, 2, 0, 2, 1, 1, 0, 10, 1, 0]
10365 [5, 1, 1, 0, 0, 1, 4, 2, 2, 0, 0, 3, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 0, 0, 0, 1, 4, 2, 2, 2, 0, 2, 0, 2, 1, 4, 2, 1, 0, 0, 1, 1, 0, 2, 24, 0, 1, 0, 1, 0, 1, 0, 0, 0, 3, 0, 1, 1, 1, 0, 11, 1, 0]
10447 [5, 1, 2, 0, 0, 4, 3, 2, 2, 0, 0, 3, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 0, 0, 0, 1, 4, 1, 2, 2, 0, 2, 0, 2, 2, 2, 2, 1, 0, 0, 1, 1, 0, 2, 24, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 1, 1, 0, 10, 1, 0]
10471 [5, 1, 1, 0, 0, 1, 4, 2, 2, 0, 0, 5, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 0, 0, 1, 4, 1, 2, 2, 0, 2, 0, 2, 2, 3, 2, 1, 0, 0, 1, 1, 0, 2, 21, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 1, 1, 0, 11, 1, 0]
10474 [5, 1, 1, 0, 0, 5, 4, 2, 2, 0, 0, 1, 0, 3, 4, 0, 3, 0, 0, 1, 0, 0, 0, 0, 5, 0, 2, 0, 4, 0, 1, 3, 1, 2, 2, 0, 2, 0, 2, 3, 4, 4, 0, 0, 0, 1, 1, 0, 4, 24, 0, 6, 0, 2, 0, 1, 0, 0, 0, 5, 0, 2, 1, 1, 0, 11, 1, 0]
10480 [5, 1, 2, 0, 0, 3, 4, 2, 2, 0, 0, 3, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 0, 0, 0, 1, 4, 2, 2, 1, 0, 2, 0, 2, 1, 2, 2, 1, 0, 0, 1, 1, 0, 2, 22, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 1, 1, 0, 13, 1, 0]
10485 [4, 1, 2, 0, 0, 2, 3, 2, 2, 0, 0, 1, 0, 3, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 0, 0, 0, 1, 4, 1, 2, 2, 0, 2, 0, 2, 1, 4, 2, 1, 0, 0, 1, 1, 0, 2, 23, 0, 1, 0, 1, 0, 1, 0, 0, 0, 3, 0, 2, 1, 1, 0, 10, 1, 0]
10518 [3, 1, 2, 0, 0, 1, 3, 2, 2, 0, 0, 1, 0, 3, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 0, 0, 0, 1, 4, 2, 2, 2, 0, 2, 0, 2, 1, 4, 2, 1, 0, 0, 2, 1, 0, 2, 23, 0, 1, 0, 1, 0, 1, 0, 0, 0, 4, 0, 2, 1, 1, 0, 11, 1, 0]
